spot_id,spot_name,lat,lon,count,spot_types,is_parking
47,O,34.6799115,135.8130025,106,"[""beauty_salon"", ""point_of_interest"", ""establishment""]",False
48,みらん 奈良店,34.717375,135.78552,104,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
49,愛和エクステリア,34.73923,135.74429,103,"[""store"", ""general_contractor"", ""point_of_interest"", ""establishment""]",False
50,生駒北大和郵便局,34.72355,135.72988,97,"[""post_office"", ""atm"", ""finance"", ""point_of_interest"", ""establishment""]",False
51,奈良先端科学技術大学院大学 学生宿舎,34.73301,135.736,95,"[""school"", ""point_of_interest"", ""establishment""]",True
52,アピタタウンけいはんな,34.746036,135.771155,95,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
53,近鉄富雄元町駅前駐車場,34.692701,135.733666,92,"[""parking"", ""point_of_interest"", ""establishment""]",False
54,ジョイフル 京都精華町店,34.74528,135.769433,89,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
55,奈良日産自動車 生駒店,34.700703,135.697595,88,"[""car_dealer"", ""store"", ""point_of_interest"", ""establishment""]",False
56,奈良先端科学技術大学院大学 先端科学技術研究科 情報科学領域,34.7317,135.73533,88,"[""university"", ""point_of_interest"", ""establishment""]",True
57,コスモ石油 セルフ学研北生駒 SS (コスモ石油販売大阪カンパニー),34.72452,135.72006,85,"[""gas_station"", ""car_wash"", ""car_repair"", ""store"", ""point_of_interest"", ""establishment""]",False
58,アノラーメン製作所,34.69437,135.734378,85,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
59,イオンモール奈良登美ヶ丘,34.726085,135.750213,82,"[""shopping_mall"", ""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]",False
60,学際融合領域研究棟1号館,34.73188,135.73638,81,"[""university"", ""point_of_interest"", ""establishment""]",True
61,生命科学研究基盤センター,34.73133,135.732078,75,"[""university"", ""point_of_interest"", ""establishment""]",True
62,高山郵便局,34.72612,135.7205,74,"[""post_office"", ""finance"", ""point_of_interest"", ""establishment""]",False
63,揉みほぐし名家,34.708755,135.705713,74,"[""health"", ""point_of_interest"", ""establishment""]",False
64,松島塗装工業株式会社,34.725187000000005,135.7288045,72,"[""painter"", ""point_of_interest"", ""establishment""]",False
65,お宝創庫 生駒店,34.72772,135.75189,71,"[""recycle_store"", ""point_of_interest"", ""establishment""]",False
66,奈良市の写真館 フォトリンクス,34.67137,135.80728,71,"[""point_of_interest"", ""electronics_store"", ""home_goods_store"", ""store"", ""establishment""]",False
67,たにの皮ふ科クリニック,34.7264285,135.729559,71,"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]",False
68,餃子の王将 押熊店,34.72009,135.76785,67,"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
69,スギ薬局 登美ケ丘店,34.722305,135.749525,64,"[""drugstore"", ""health"", ""store"", ""point_of_interest"", ""establishment""]",False
70,モスバーガー平城ニュータウン店,34.7203,135.77361,63,"[""cafe"", ""restaurant"", ""point_of_interest"", ""store"", ""food"", ""establishment""]",False
71,定食製作所,34.72205,135.77111,60,"[""restaurant"", ""point_of_interest"", ""establishment""]",False
